ID,microchip,speice,sex,size,potenciallyDangrous,neighborhood
1641-FMMSI-SIN IDENTIFICAR,978101081191641,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
672-FMMSI-SIN IDENTIFICAR,978101081191672,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
690-CHMSI-SIN IDENTIFICAR,978101081191690,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
1725-FHMSI-SIN IDENTIFICAR,978101081191725,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
1873-CMMSI-SIN IDENTIFICAR,978101081191873,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
1895-CHMSI-SIN IDENTIFICAR,978101081191895,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
1902-CHMSI-SIN IDENTIFICAR,978101081191902,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
1936-CMMSI-SIN IDENTIFICAR,978101081191936,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2018-CHMSI-SIN IDENTIFICAR,978101081192018,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
2109-CMMSI-SIN IDENTIFICAR,978101081192109,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2127-CHMSI-SIN IDENTIFICAR,978101081192127,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
2140-CHMSI-SIN IDENTIFICAR,978101081192140,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
2150-CMMSI-SIN IDENTIFICAR,978101081192150,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
233-FHMSI-SIN IDENTIFICAR,978101081192233,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
258-FMMSI-SIN IDENTIFICAR,978101081192258,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2351-CMMSI-SIN IDENTIFICAR,978101081192351,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2413-FMMSI-SIN IDENTIFICAR,978101081192413,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2442-FMMSI-SIN IDENTIFICAR,978101081192442,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
2479-FHMSI-SIN IDENTIFICAR,978101081192479,FELINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
